"id","longitude","latitude","elevation","title","place_description","sig","mag","mag_type","time","updated","effect","row_number"
"us6000smbi","125.955","24.4979","35.0","M 4.3 - 72 km ESE of Miyakojima, Japan","72 km ESE of Miyakojima, Japan","284","4.3","mb","2026-04-03 09:53:08.749000","2026-04-03 12:49:50.040000","Maybe damage","156"
"us6000smb8","142.3655","39.655","53.419","M 4.4 - 36 km E of Miyako, Japan","36 km E of Miyako, Japan","298","4.4","mb","2026-04-03 08:51:49.368000","2026-04-03 11:11:30.040000","Maybe damage","135"
"us6000ss7p","143.3289","39.6744","16.958","M 4.9 - 119 km E of Miyako, Japan","119 km E of Miyako, Japan","369","4.9","mb","2026-04-23 00:07:57.051000","2026-04-23 00:27:34.040000","Maybe damage","3"
"us6000sscv","140.0662","35.6218","80.188","M 4.5 - 3 km S of Kemigawa, Japan","3 km S of Kemigawa, Japan","314","4.5","mb","2026-04-23 14:53:17.030000","2026-04-24 00:21:26.339000","Maybe damage","155"
"us6000ssga","131.0964","28.3412","10.0","M 5.0 - 147 km E of Tatsugō, Japan","147 km E of Tatsugō, Japan","385","5.0","mww","2026-04-23 22:52:54.569000","2026-04-23 23:09:26.040000","Minor damage","238"
